time,spot_x_axis_x7,spot_y_axis_x7,spot_z_axis_x7,spot_x_axis_base,spot_y_axis_base,spot_z_axis_base
0.067,-0.01171875,-0.0234375,0.01171875,0.0,0.0,-0.0
0.074,-0.01171875,-0.0234375,0.01171875,-0.01171875,-0.01171875,-0.03515625
0.081,-0.01171875,0.0,0.01171875,-0.01171875,-0.01171875,-0.03515625
0.088,-0.01171875,0.0,0.01171875,-0.01171875,-0.01171875,-0.03515625
0.095,0.0234375,0.0,-0.17578125,-0.0234375,0.0,-0.0
0.102,0.0234375,-0.01171875,-0.03515625,-0.0234375,0.0,-0.0
0.108,0.0234375,-0.01171875,-0.03515625,-0.0234375,0.0,-0.0
0.115,-0.01171875,-0.0234375,-0.01171875,-0.01171875,0.01171875,0.01171875
0.122,-0.01171875,-0.0234375,-0.01171875,-0.01171875,0.01171875,0.01171875
0.129,-0.01171875,-0.0234375,-0.01171875,0.01171875,0.01171875,0.01171875
0.136,0.01171875,0.0,-0.01171875,0.01171875,0.0234375,-0.0
0.143,0.01171875,0.0,-0.01171875,0.01171875,0.0234375,-0.0
0.15,0.01171875,0.0,-0.01171875,0.0,0.0234375,-0.03515625
0.158,-0.01171875,0.0,-0.0234375,0.0,0.0234375,-0.03515625
0.166,-0.01171875,0.0,-0.0234375,0.0,0.0234375,-0.03515625
0.175,0.01171875,-0.0234375,-0.0234375,0.0,0.0,-0.01171875
0.183,0.01171875,-0.0234375,-0.0,0.0,0.0,-0.01171875
0.191,0.01171875,-0.0234375,-0.0,0.0,0.0,-0.03515625
0.199,0.01171875,-0.01171875,-0.01171875,0.0,0.0,-0.03515625
0.207,0.01171875,-0.01171875,-0.01171875,-0.0234375,0.0,-0.03515625
0.215,-0.0234375,-0.03515625,-0.19921875,-0.0234375,0.0234375,-0.01171875
0.223,-0.0234375,-0.03515625,-0.0234375,-0.0234375,0.0234375,-0.01171875
0.231,-0.0234375,-0.03515625,-0.0234375,0.0,-0.01171875,0.0234375
0.239,-0.01171875,0.0234375,-0.0,0.0,-0.01171875,0.0234375
0.247,-0.01171875,0.0234375,-0.0,0.0,0.0,-0.03515625
0.255,-0.03515625,-0.0234375,-0.1875,0.0,0.0,-0.03515625
0.263,-0.03515625,-0.0234375,-0.0234375,0.0,0.0,-0.03515625
0.272,-0.03515625,-0.0234375,-0.0234375,0.0,0.01171875,-0.0
0.28,-0.0234375,-0.0234375,0.01171875,0.0,0.01171875,-0.0
0.288,-0.0234375,-0.0234375,0.01171875,-0.0234375,-0.01171875,0.01171875
0.296,-0.01171875,-0.0234375,-0.01171875,-0.0234375,-0.01171875,0.01171875
0.303,-0.01171875,-0.0234375,-0.01171875,-0.0234375,-0.01171875,0.01171875
0.311,-0.01171875,-0.0234375,-0.01171875,-0.0234375,0.0,0.0234375
0.319,0.0,0.01171875,0.0234375,-0.0234375,0.0,0.0234375
0.327,0.0,0.01171875,0.0234375,-0.01171875,0.01171875,0.0234375
0.335,0.0,0.0,0.0234375,-0.01171875,0.01171875,0.0234375
0.343,0.0,0.0,-0.01171875,-0.0234375,0.01171875,0.0234375
0.351,0.0,0.0,-0.01171875,-0.0234375,0.0234375,-0.03515625
0.359,-0.01171875,-0.0234375,-0.01171875,-0.0234375,0.0234375,-0.03515625
0.368,-0.01171875,-0.0234375,-0.01171875,-0.0234375,-0.01171875,-0.0
0.376,-0.03515625,0.01171875,0.01171875,-0.0234375,-0.01171875,-0.0
0.384,-0.03515625,0.01171875,0.01171875,0.01171875,0.01171875,-0.0
0.392,-0.03515625,0.01171875,0.01171875,0.01171875,0.01171875,0.01171875
0.399,-0.0234375,0.0,-0.01171875,0.01171875,0.01171875,0.01171875
0.407,-0.0234375,0.0,-0.01171875,-0.0234375,0.0234375,-0.0
0.415,0.0,0.0,-0.01171875,-0.0234375,0.0234375,-0.0
0.423,0.0,0.0,-0.01171875,-0.01171875,0.01171875,-0.0
0.431,0.0,0.0,-0.01171875,-0.01171875,0.01171875,0.01171875
0.439,-0.0234375,-0.0234375,-0.0234375,-0.01171875,0.01171875,0.01171875
0.447,-0.0234375,-0.0234375,-0.0234375,-0.01171875,0.0,-0.0
0.455,-0.01171875,-0.0234375,-0.0234375,-0.01171875,0.0,-0.0
0.463,-0.01171875,-0.0234375,-0.0234375,-0.01171875,0.0234375,-0.03515625
0.471,-0.01171875,-0.0234375,-0.0234375,-0.01171875,0.0234375,-0.03515625
0.479,-0.03515625,-0.0234375,-0.03515625,-0.01171875,0.0234375,-0.03515625
0.486,-0.03515625,-0.0234375,-0.03515625,-0.0234375,0.03515625,0.03515625
0.494,-0.01171875,-0.0234375,-0.03515625,-0.0234375,0.03515625,0.03515625
0.502,-0.01171875,0.0,-0.0,0.0,0.01171875,0.01171875
0.51,-0.01171875,0.0,-0.0,0.0,0.01171875,0.01171875
0.518,0.0,-0.01171875,0.01171875,0.0,0.01171875,0.01171875
0.526,0.0,-0.01171875,0.01171875,0.0234375,0.0,0.01171875
0.534,-0.03515625,-0.01171875,0.01171875,0.0234375,0.0,0.01171875
0.542,-0.03515625,-0.0234375,-0.0234375,0.01171875,-0.01171875,0.0234375
0.55,-0.03515625,-0.0234375,-0.0234375,0.01171875,-0.01171875,0.0234375
0.558,-0.01171875,-0.046875,-0.0234375,0.01171875,-0.01171875,0.0234375
0.565,-0.01171875,-0.046875,-0.0234375,-0.0234375,0.03515625,0.0234375
0.574,0.0,-0.046875,-0.0234375,-0.0234375,0.03515625,0.0234375
0.582,0.0,0.0,-0.0,-0.0234375,0.01171875,-0.0
0.592,0.0,0.0,-0.0,-0.0234375,0.01171875,-0.0
0.6,-0.01171875,0.0,-0.0,0.01171875,0.046875,0.01171875
0.608,-0.01171875,0.0,-0.0,0.01171875,0.046875,0.01171875
0.616,-0.046875,-0.01171875,-0.0,0.01171875,0.046875,0.01171875
0.624,-0.046875,-0.01171875,0.01171875,0.0,0.01171875,0.01171875
0.631,-0.046875,-0.01171875,0.01171875,0.0,0.01171875,0.01171875
0.639,-0.01171875,0.01171875,0.01171875,0.01171875,0.0,-0.0
0.647,-0.01171875,0.01171875,0.01171875,0.01171875,0.0,-0.0
0.655,0.01171875,0.01171875,0.01171875,0.01171875,0.0,-0.0
0.663,0.01171875,-0.0234375,-0.01171875,0.0,0.01171875,-0.0
0.671,0.01171875,-0.0234375,-0.01171875,0.0,0.01171875,-0.0
0.679,-0.01171875,-0.046875,-0.01171875,0.0,0.0234375,-0.03515625
0.687,-0.01171875,-0.046875,-0.01171875,0.0,0.0234375,-0.03515625
0.695,0.0,-0.046875,-0.01171875,0.0,0.0234375,-0.03515625
0.703,0.0,-0.01171875,-0.01171875,0.0234375,0.03515625,0.01171875
